Year,WorldwideBox Office,DomesticBox Office,InternationalBox Office,category,name,winner,nomination count,Nomination ID,Movie ID
2008,342416460.0,134508551.0,207907909.0,SOUND MIXING,"Chris Jenkins, Frank A. Montaño and Petr Forejt",False,2,863,178
1977,340800479.0,169100479.0,171700000.0,ACTRESS IN A SUPPORTING ROLE,Melinda Dillon,False,9,864,179
1977,340800479.0,169100479.0,171700000.0,ART DIRECTION,"Art Direction:  Joe Alves, Dan Lomino;  Set Decoration:  Phil Abramson",False,9,865,179
1977,340800479.0,169100479.0,171700000.0,CINEMATOGRAPHY,Vilmos Zsigmond,True,9,866,179
1977,340800479.0,169100479.0,171700000.0,DIRECTING,Steven Spielberg,False,9,867,179
1977,340800479.0,169100479.0,171700000.0,FILM EDITING,Michael Kahn,False,9,868,179
1977,340800479.0,169100479.0,171700000.0,MUSIC (Original Score),John Williams,False,9,869,179
1977,340800479.0,169100479.0,171700000.0,SOUND,"Robert Knudson, Robert J. Glass, Don MacDougall, Gene S. Cantamessa",False,9,870,179
1977,340800479.0,169100479.0,171700000.0,VISUAL EFFECTS,"Roy Arbogast, Douglas Trumbull, Matthew Yuricich, Gregory Jein, Richard Yuricich",False,9,871,179
1977,340800479.0,169100479.0,171700000.0,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),Frank E. Warner,True,9,872,179
2007,340384141.0,127706877.0,212677264.0,MUSIC (Original Song),Music by Alan Menken; Lyric by Stephen Schwartz,False,3,873,180
2007,340384141.0,127706877.0,212677264.0,MUSIC (Original Song),Music by Alan Menken; Lyric by Stephen Schwartz,False,3,874,180
2007,340384141.0,127706877.0,212677264.0,MUSIC (Original Song),Music by Alan Menken; Lyric by Stephen Schwartz,False,3,875,180
1995,336529144.0,184031112.0,152498032.0,CINEMATOGRAPHY,Stephen Goldblatt,False,3,877,181
1995,336529144.0,184031112.0,152498032.0,SOUND,"Donald O. Mitchell, Frank A. Montaño, Michael Herbick, Petur Hliddal",False,3,878,181
1995,336529144.0,184031112.0,152498032.0,SOUND EFFECTS EDITING,"John Leveque, Bruce Stambler",False,3,879,181
1996,336069511.0,134069511.0,202000000.0,SOUND,"Kevin O'Connell, Greg P. Russell, Keith A. Wester",False,1,881,182
1995,335802271.0,173772767.0,162029504.0,ACTOR IN A SUPPORTING ROLE,Ed Harris,False,9,882,183
1995,335802271.0,173772767.0,162029504.0,ACTRESS IN A SUPPORTING ROLE,Kathleen Quinlan,False,9,883,183
1995,335802271.0,173772767.0,162029504.0,ART DIRECTION,Art Direction:  Michael Corenblith;  Set Decoration:  Merideth Boswell,False,9,884,183
1995,335802271.0,173772767.0,162029504.0,FILM EDITING,"Mike Hill, Dan Hanley",True,9,885,183
1995,335802271.0,173772767.0,162029504.0,MUSIC (Original Dramatic Score),James Horner,False,9,886,183
1995,335802271.0,173772767.0,162029504.0,BEST PICTURE,"Brian Grazer, Producer",False,9,887,183
1995,335802271.0,173772767.0,162029504.0,SOUND,"Rick Dior, Steve Pederson, Scott Millan, David MacMillan",True,9,888,183
1995,335802271.0,173772767.0,162029504.0,VISUAL EFFECTS,"Robert Legato, Michael Kanfer, Leslie Ekker, Matt Sweeney",False,9,889,183
1995,335802271.0,173772767.0,162029504.0,WRITING (Screenplay Based on Material Previously Produced or Published),"William Broyles, Jr., Al Reinert",False,9,890,183
2016,335673708.0,158848340.0,176825368.0,MAKEUP AND HAIRSTYLING,Joel Harlow and Richard Alonzo,False,1,891,184
2018,334876670.0,188024361.0,146852309.0,SOUND EDITING,Ethan Van der Ryn and Erik Aadahl,False,1,892,185
1984,333080271.0,179880271.0,153200000.0,MUSIC (Original Score),John Williams,False,2,896,186
1984,333080271.0,179880271.0,153200000.0,VISUAL EFFECTS,"Dennis Muren, Michael McAlister, Lorne Peterson, George Gibbs",True,2,897,186
1989,331971881.0,118450002.0,213521879.0,VISUAL EFFECTS,"Ken Ralston, Michael Lantieri, John Bell, Steve Gawley",False,1,898,187
2010,331266710.0,106954678.0,224312032.0,ACTRESS IN A LEADING ROLE,Natalie Portman,True,5,901,188
2010,331266710.0,106954678.0,224312032.0,CINEMATOGRAPHY,Matthew Libatique,False,5,902,188
2010,331266710.0,106954678.0,224312032.0,DIRECTING,Darren Aronofsky,False,5,903,188
2010,331266710.0,106954678.0,224312032.0,FILM EDITING,Andrew Weisblum,False,5,904,188
2010,331266710.0,106954678.0,224312032.0,BEST PICTURE,"Mike Medavoy, Brian Oliver and Scott Franklin, Producers",False,5,905,188
2000,330425040.0,166225040.0,164200000.0,MUSIC (Original Song),Music and Lyric by Randy Newman,False,1,907,189
2008,329631958.0,127509326.0,202122632.0,ACTOR IN A LEADING ROLE,Brad Pitt,False,13,908,190
2008,329631958.0,127509326.0,202122632.0,ACTRESS IN A SUPPORTING ROLE,Taraji P. Henson,False,13,909,190
2008,329631958.0,127509326.0,202122632.0,ART DIRECTION,Art Direction: Donald Graham Burt; Set Decoration: Victor J. Zolfo,True,13,910,190
2008,329631958.0,127509326.0,202122632.0,CINEMATOGRAPHY,Claudio Miranda,False,13,911,190
2008,329631958.0,127509326.0,202122632.0,COSTUME DESIGN,Jacqueline West,False,13,912,190
2008,329631958.0,127509326.0,202122632.0,DIRECTING,David Fincher,False,13,913,190
2008,329631958.0,127509326.0,202122632.0,FILM EDITING,Kirk Baxter and Angus Wall,False,13,914,190
2008,329631958.0,127509326.0,202122632.0,MAKEUP,Greg Cannom,True,13,915,190
2008,329631958.0,127509326.0,202122632.0,MUSIC (Original Score),Alexandre Desplat,False,13,916,190
2008,329631958.0,127509326.0,202122632.0,BEST PICTURE,"Kathleen Kennedy, Frank Marshall and Ceán Chaffin, Producers",False,13,917,190
2008,329631958.0,127509326.0,202122632.0,SOUND MIXING,"David Parker, Michael Semanick, Ren Klyce and Mark Weingarten",False,13,918,190
2008,329631958.0,127509326.0,202122632.0,VISUAL EFFECTS,"Eric Barba, Steve Preeg, Burt Dalton and Craig Barron",True,13,919,190
2008,329631958.0,127509326.0,202122632.0,WRITING (Adapted Screenplay),Screenplay by Eric Roth; Screen story by Eric Roth and Robin Swicord,False,13,920,190
2000,328711434.0,182618434.0,146093000.0,SOUND,"John Reitz, Gregg Rudloff, David Campbell, Keith A. Wester",False,2,921,191
2000,328711434.0,182618434.0,146093000.0,VISUAL EFFECTS,"Stefen Fangmeier, Habib Zargarpour, John Frazier, Walt Conti",False,2,922,191
2008,328015029.0,114053579.0,213961450.0,ANIMATED FEATURE FILM,Chris Williams and Byron Howard,False,1,926,192
2006,326073155.0,124740460.0,201332695.0,ACTRESS IN A LEADING ROLE,Meryl Streep,False,2,928,193
2006,326073155.0,124740460.0,201332695.0,COSTUME DESIGN,Patricia Field,False,2,929,193
1996,325500000.0,100138851.0,225361149.0,MUSIC (Scoring),Alfred Newman,False,3,931,194
1996,325500000.0,100138851.0,225361149.0,SOUND RECORDING,"RKO Radio Studio Sound Department, John Aalberg, Sound Director",False,3,932,194
1996,325500000.0,100138851.0,225361149.0,MUSIC (Original Musical or Comedy Score),Music by Alan Menken; Lyrics by Stephen Schwartz; Orchestral Score by Alan Menken,False,3,933,194
2010,322459006.0,105487148.0,216971858.0,MUSIC (Song),Music by George Bruns; Lyrics by Floyd Huddleston,False,1,934,195
1987,320100000.0,156645693.0,163454307.0,ACTRESS IN A LEADING ROLE,Glenn Close,False,6,937,196
1987,320100000.0,156645693.0,163454307.0,ACTRESS IN A SUPPORTING ROLE,Anne Archer,False,6,938,196
1987,320100000.0,156645693.0,163454307.0,DIRECTING,Adrian Lyne,False,6,939,196
1987,320100000.0,156645693.0,163454307.0,FILM EDITING,"Michael Kahn, Peter E. Berger",False,6,940,196
1987,320100000.0,156645693.0,163454307.0,BEST PICTURE,"Stanley R. Jaffe and Sherry Lansing, Producers",False,6,941,196
1987,320100000.0,156645693.0,163454307.0,WRITING (Screenplay Based on Material from Another Medium),James Dearden,False,6,942,196
2018,320029388.0,85080171.0,234949217.0,ACTOR IN A LEADING ROLE,Viggo Mortensen,False,5,943,197
2018,320029388.0,85080171.0,234949217.0,ACTOR IN A SUPPORTING ROLE,Mahershala Ali,True,5,944,197
2018,320029388.0,85080171.0,234949217.0,FILM EDITING,Patrick J. Don Vito,False,5,945,197
2018,320029388.0,85080171.0,234949217.0,BEST PICTURE,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly and Nick Vallelonga, Producers",True,5,946,197
2018,320029388.0,85080171.0,234949217.0,WRITING (Original Screenplay),"Written by Nick Vallelonga, Brian Currie, Peter Farrelly",True,5,947,197
2001,317668058.0,170708996.0,146959062.0,ACTOR IN A LEADING ROLE,Russell Crowe,False,8,952,198
2001,317668058.0,170708996.0,146959062.0,ACTRESS IN A SUPPORTING ROLE,Jennifer Connelly,True,8,953,198
2001,317668058.0,170708996.0,146959062.0,DIRECTING,Ron Howard,True,8,954,198
2001,317668058.0,170708996.0,146959062.0,FILM EDITING,"Mike Hill, Dan Hanley",False,8,955,198
2001,317668058.0,170708996.0,146959062.0,MAKEUP,"Greg Cannom, Colleen Callaghan",False,8,956,198
2001,317668058.0,170708996.0,146959062.0,MUSIC (Original Score),James Horner,False,8,957,198
2001,317668058.0,170708996.0,146959062.0,BEST PICTURE,"Brian Grazer and Ron Howard, Producers",True,8,958,198
2001,317668058.0,170708996.0,146959062.0,WRITING (Screenplay Based on Material Previously Produced or Published),Written by Akiva Goldsman,True,8,959,198
2009,316915264.0,120774594.0,196140670.0,ACTOR IN A SUPPORTING ROLE,Christoph Waltz,True,8,960,199
2009,316915264.0,120774594.0,196140670.0,CINEMATOGRAPHY,Robert Richardson,False,8,961,199
2009,316915264.0,120774594.0,196140670.0,DIRECTING,Quentin Tarantino,False,8,962,199
2009,316915264.0,120774594.0,196140670.0,FILM EDITING,Sally Menke,False,8,963,199
2009,316915264.0,120774594.0,196140670.0,BEST PICTURE,"Lawrence Bender, Producer",False,8,964,199
2009,316915264.0,120774594.0,196140670.0,SOUND EDITING,Wylie Stateman,False,8,965,199
2009,316915264.0,120774594.0,196140670.0,SOUND MIXING,"Michael Minkler, Tony Lamberti and Mark Ulano",False,8,966,199
